"Linea","Sentido","Latitud","Longitud"
"319","i","-38.700199","-62.268791"
"319","i","-38.710831","-62.263256"
"319","i","-38.712757","-62.266087"
"319","i","-38.716080","-62.269478"
"319","i","-38.718090","-62.266827"
"319","i","-38.719887","-62.264404"
"319","i","-38.721092","-62.262924"
"319","i","-38.723557","-62.259651"
"319","i","-38.725422","-62.257301"
"319","i","-38.730755","-62.252804"
"319","i","-38.735622","-62.246754"
"319","i","-38.733849","-62.244244"
"319","i","-38.736343","-62.241131"
"319","i","-38.733505","-62.237442"
"319","i","-38.732250","-62.235767"
"319","i","-38.731941","-62.233406"
"319","i","-38.730518","-62.231724"
"319","i","-38.729271","-62.228031"
"319","i","-38.731701","-62.224781"
"319","i","-38.733337","-62.222668"
"319","i","-38.737198","-62.219204"
"319","i","-38.738972","-62.217098"
"319","i","-38.740780","-62.215321"
"319","i","-38.749683","-62.201607"
"319","i","-38.752525","-62.187489"
"319","i","-38.755028","-62.175102"
"319","i","-38.763622","-62.165279"
"319","i","-38.810654","-62.107258"
"319","i","-38.841045","-62.094555"
"319","i","-38.847595","-62.086742"
"319","i","-38.851173","-62.085670"
"319","i","-38.855717","-62.084339"
"319","i","-38.856903","-62.084019"
"319","i","-38.863037","-62.082279"
"319","i","-38.867580","-62.081165"
"319","i","-38.846809","-62.089855"
"319","i","-38.860096","-62.083225"
"319","i","-38.864807","-62.081982"
"319","i","-38.869518","-62.080780"
"319","i","-38.871723","-62.080135"
"319","i","-38.873978","-62.079536"
"319","i","-38.876652","-62.078804"
"319","i","-38.877102","-62.081532"
"319","i","-38.877556","-62.084404"
"319","i","-38.881126","-62.083439"
"319","i","-38.883934","-62.082752"
"319","i","-38.883331","-62.079384"
"319","i","-38.882797","-62.076488"
"319","i","-38.877102","-62.073654"
"319","i","-38.880527","-62.075737"
"319","i","-38.877586","-62.076595"
"319","i","-38.876118","-62.075459"
"500","i","-38.671288","-62.294109"
"500","i","-38.672115","-62.292999"
"500","i","-38.672943","-62.291889"
"500","i","-38.673588","-62.292694"
"500","i","-38.674229","-62.293495"
"500","i","-38.674873","-62.294300"
"500","i","-38.675518","-62.295105"
"500","i","-38.676159","-62.295906"
"500","i","-38.676804","-62.296711"
"500","i","-38.677448","-62.297516"
"500","i","-38.678089","-62.298317"
"500","i","-38.678703","-62.297516"
"500","i","-38.679317","-62.296719"
"500","i","-38.679932","-62.295918"
"500","i","-38.680546","-62.295116"
"500","i","-38.681293","-62.294434"
"500","i","-38.682114","-62.293354"
"500","i","-38.682930","-62.292274"
"500","i","-38.683613","-62.293125"
"500","i","-38.684296","-62.293976"
"500","i","-38.684975","-62.294827"
"500","i","-38.685658","-62.295677"
"500","i","-38.686405","-62.294743"
"500","i","-38.687149","-62.293804"
"500","i","-38.687897","-62.292866"
"500","i","-38.686901","-62.291622"
"500","i","-38.687630","-62.290695"
"500","i","-38.688362","-62.289764"
"500","i","-38.687462","-62.288658"
"500","i","-38.686302","-62.287998"
"500","i","-38.686935","-62.287174"
"500","i","-38.687569","-62.286354"
"500","i","-38.688198","-62.285530"
"500","i","-38.688831","-62.284706"
"500","i","-38.689465","-62.283886"
"500","i","-38.690094","-62.283066"
"500","i","-38.690727","-62.282242"
"500","i","-38.691360","-62.281418"
"500","i","-38.691990","-62.280598"
"500","i","-38.692623","-62.279774"
"500","i","-38.693256","-62.278954"
"500","i","-38.693886","-62.278130"
"500","i","-38.694519","-62.277309"
"500","i","-38.695152","-62.276485"
"500","i","-38.695782","-62.275661"
"500","i","-38.696415","-62.274841"
"500","i","-38.697048","-62.274017"
"500","i","-38.697048","-62.274017"
"500","i","-38.698669","-62.272736"
"500","i","-38.700291","-62.271454"
"500","i","-38.701912","-62.270172"
"500","i","-38.703533","-62.268887"
"500","i","-38.705154","-62.267605"
"500","i","-38.706776","-62.266323"
"500","i","-38.708431","-62.268742"
"500","i","-38.710091","-62.271160"
"500","i","-38.711380","-62.269550"
"500","i","-38.712673","-62.267937"
"500","i","-38.713963","-62.266327"
"500","i","-38.715256","-62.264713"
"500","i","-38.717537","-62.267479"
"500","i","-38.718761","-62.265884"
"500","i","-38.719990","-62.264294"
"500","i","-38.721512","-62.266159"
"500","i","-38.723034","-62.268021"
"500","i","-38.724560","-62.269886"
"500","i","-38.726082","-62.271751"
"500","i","-38.726082","-62.271751"
"500","i","-38.726818","-62.270798"
"500","i","-38.727554","-62.269848"
"500","i","-38.728291","-62.268894"
"500","i","-38.729023","-62.267941"
"500","i","-38.729759","-62.266987"
"500","i","-38.730495","-62.266037"
"500","i","-38.731228","-62.265083"
"500","i","-38.731945","-62.265976"
"500","i","-38.732662","-62.266872"
"500","i","-38.733379","-62.267765"
"500","i","-38.734097","-62.268661"
"500","i","-38.734814","-62.269554"
"500","i","-38.735527","-62.270447"
"500","i","-38.736244","-62.271343"
"500","i","-38.736961","-62.272236"
"500","i","-38.737679","-62.273132"
"500","i","-38.738396","-62.274025"
"500","i","-38.739113","-62.274921"
"500","i","-38.739826","-62.275814"
"500","i","-38.740822","-62.274529"
"500","i","-38.741814","-62.273239"
"500","i","-38.742558","-62.274170"
"500","i","-38.743301","-62.275101"
"500","i","-38.744045","-62.276028"
"500","i","-38.744789","-62.276955"
"500","i","-38.745365","-62.276199"
"500","i","-38.746433","-62.275768"
"500","i","-38.747505","-62.275341"
"500","i","-38.748573","-62.274914"
"500","i","-38.749641","-62.274487"
"500","i","-38.750610","-62.273178"
"500","i","-38.751575","-62.271873"
"500","i","-38.750835","-62.270954"
"500","i","-38.750092","-62.270039"
"500","i","-38.750767","-62.269150"
"500","i","-38.751442","-62.268261"
"500","i","-38.752117","-62.267372"
"500","i","-38.752789","-62.266483"
"500","i","-38.753464","-62.265594"
"500","i","-38.754139","-62.264706"
"500","i","-38.754814","-62.263817"
"500","i","-38.755489","-62.262928"
"500","i","-38.756283","-62.263920"
"500","i","-38.757076","-62.264908"
"500","i","-38.757870","-62.265896"
"500","i","-38.757027","-62.266998"
"500","i","-38.756184","-62.268101"
"500","i","-38.755341","-62.269203"
"500","i","-38.756229","-62.270367"
"500","i","-38.757385","-62.270359"
"500","i","-38.758541","-62.270351"
"500","i","-38.759693","-62.270344"
"500","i","-38.760849","-62.270336"
"500","i","-38.762005","-62.270329"
"500","i","-38.763161","-62.270321"
"500","i","-38.764317","-62.270313"
"500","i","-38.765472","-62.270309"
"500","i","-38.766624","-62.270302"
"500","i","-38.768028","-62.271908"
"500","i","-38.767002","-62.273209"
"500","i","-38.767727","-62.274113"
"500","i","-38.768448","-62.275021"
"500","i","-38.769169","-62.275925"
"500","i","-38.769890","-62.276829"
"500","i","-38.770611","-62.277737"
"500","i","-38.771317","-62.276817"
"500","i","-38.772018","-62.275898"
"500","i","-38.772720","-62.274979"
"500","i","-38.773422","-62.274059"
"500","i","-38.774124","-62.273140"
"500","i","-38.774830","-62.272221"
"500","i","-38.775532","-62.271301"
"500","i","-38.774635","-62.270145"
"500","i","-38.775505","-62.268974"
"500","i","-38.776371","-62.267803"
"500","i","-38.777237","-62.266632"
"500","i","-38.778168","-62.267792"
"500","i","-38.779053","-62.266659"
"500","i","-38.779938","-62.265522"
"500","i","-38.780914","-62.266666"
"500","i","-38.781887","-62.267807"
"500","i","-38.783569","-62.268917"
"500","i","-38.784336","-62.266975"
"500","i","-38.786129","-62.268196"
"500","i","-38.786633","-62.266991"
"500","i","-38.787140","-62.265785"
"500","i","-38.787643","-62.264580"
"500","i","-38.787228","-62.263077"
"500","i","-38.786812","-62.261578"
"500","i","-38.786839","-62.261375"
"500","i","-38.785889","-62.260731"
"500","i","-38.784943","-62.260082"
"500","i","-38.783997","-62.259438"
"500","i","-38.783047","-62.258789"
"500","i","-38.782101","-62.258141"
"500","i","-38.781155","-62.257496"
"500","i","-38.780205","-62.256847"
"500","i","-38.779259","-62.256199"
"500","i","-38.778313","-62.255554"
"500","i","-38.777367","-62.254906"
"500","i","-38.776417","-62.254257"
"500","i","-38.775471","-62.253613"
"500","i","-38.774693","-62.252590"
"500","i","-38.773914","-62.251568"
"500","i","-38.773136","-62.250546"
"500","i","-38.772358","-62.249523"
"500","i","-38.771770","-62.248463"
"500","i","-38.771183","-62.247410"
"500","i","-38.770596","-62.246349"
"502","i","-38.757839","-62.259865"
"502","i","-38.756992","-62.258884"
"502","i","-38.756149","-62.257904"
"502","i","-38.755302","-62.256924"
"502","i","-38.754559","-62.257923"
"502","i","-38.753815","-62.258923"
"502","i","-38.753067","-62.259918"
"502","i","-38.753876","-62.260921"
"502","i","-38.754681","-62.261925"
"502","i","-38.755489","-62.262928"
"502","i","-38.754860","-62.263748"
"502","i","-38.754230","-62.264568"
"502","i","-38.753601","-62.265388"
"502","i","-38.752972","-62.266209"
"502","i","-38.752308","-62.265381"
"502","i","-38.751644","-62.264553"
"502","i","-38.750980","-62.263725"
"502","i","-38.750320","-62.262897"
"502","i","-38.749657","-62.262070"
"502","i","-38.748993","-62.261246"
"502","i","-38.748329","-62.260414"
"502","i","-38.747669","-62.259586"
"502","i","-38.746712","-62.258568"
"502","i","-38.745754","-62.257549"
"502","i","-38.745071","-62.258442"
"502","i","-38.744389","-62.259338"
"502","i","-38.743702","-62.260231"
"502","i","-38.743019","-62.261127"
"502","i","-38.742332","-62.262020"
"502","i","-38.741650","-62.262917"
"502","i","-38.740963","-62.263809"
"502","i","-38.740070","-62.262711"
"502","i","-38.739178","-62.261616"
"502","i","-38.738281","-62.262730"
"502","i","-38.737568","-62.261833"
"502","i","-38.736851","-62.260941"
"502","i","-38.736134","-62.260048"
"502","i","-38.735416","-62.259151"
"502","i","-38.734699","-62.258259"
"502","i","-38.734051","-62.259121"
"502","i","-38.733398","-62.259983"
"502","i","-38.732750","-62.260845"
"502","i","-38.732101","-62.261703"
"502","i","-38.731449","-62.262566"
"502","i","-38.730801","-62.263428"
"502","i","-38.730148","-62.264290"
"502","i","-38.729500","-62.265152"
"502","i","-38.728764","-62.264229"
"502","i","-38.728024","-62.263309"
"502","i","-38.727287","-62.262386"
"502","i","-38.726547","-62.261463"
"502","i","-38.725811","-62.260540"
"502","i","-38.725811","-62.260540"
"502","i","-38.724556","-62.262215"
"502","i","-38.723301","-62.263885"
"502","i","-38.722046","-62.265556"
"502","i","-38.720795","-62.267227"
"502","i","-38.719540","-62.268902"
"502","i","-38.718285","-62.270573"
"502","i","-38.716961","-62.268906"
"502","i","-38.715641","-62.267239"
"502","i","-38.714317","-62.265575"
"502","i","-38.712994","-62.263908"
"502","i","-38.711674","-62.262241"
"502","i","-38.710350","-62.260574"
"502","i","-38.708656","-62.261948"
"502","i","-38.706966","-62.263317"
"502","i","-38.705273","-62.264690"
"502","i","-38.703583","-62.266064"
"502","i","-38.701889","-62.267433"
"502","i","-38.700195","-62.268806"
"502","i","-38.701382","-62.271229"
"502","i","-38.699215","-62.272625"
"502","i","-38.697048","-62.274017"
"502","i","-38.695599","-62.275982"
"502","i","-38.695599","-62.275982"
"502","i","-38.694820","-62.275028"
"502","i","-38.694042","-62.274078"
"502","i","-38.693268","-62.273125"
"502","i","-38.692947","-62.272133"
"502","i","-38.692631","-62.271137"
"502","i","-38.692310","-62.270145"
"502","i","-38.691994","-62.269154"
"502","i","-38.691677","-62.268162"
"502","i","-38.691360","-62.267166"
"502","i","-38.691040","-62.266174"
"502","i","-38.690479","-62.267120"
"502","i","-38.689915","-62.268070"
"502","i","-38.689354","-62.269016"
"502","i","-38.688789","-62.269962"
"502","i","-38.688229","-62.270912"
"502","i","-38.687664","-62.271858"
"502","i","-38.686729","-62.270687"
"502","i","-38.685799","-62.269520"
"502","i","-38.684895","-62.270714"
"502","i","-38.683994","-62.271908"
"502","i","-38.684998","-62.272972"
"502","i","-38.686001","-62.274036"
"502","i","-38.684952","-62.275337"
"502","i","-38.685757","-62.276344"
"502","i","-38.686565","-62.277351"
"502","i","-38.687183","-62.278221"
"502","i","-38.687801","-62.279091"
"502","i","-38.688419","-62.279961"
"502","i","-38.689037","-62.280830"
"502","i","-38.689655","-62.281700"
"503","i","-38.757000","-62.258801"
"503","i","-38.756302","-62.257851"
"503","i","-38.755600","-62.256901"
"503","i","-38.754200","-62.257000"
"503","i","-38.754150","-62.258526"
"503","i","-38.753502","-62.259350"
"503","i","-38.752850","-62.260174"
"503","i","-38.752201","-62.261002"
"503","i","-38.751301","-62.259998"
"503","i","-38.750401","-62.261200"
"503","i","-38.749733","-62.260368"
"503","i","-38.749065","-62.259533"
"503","i","-38.748402","-62.258701"
"503","i","-38.747768","-62.259525"
"503","i","-38.747139","-62.260349"
"503","i","-38.746510","-62.261173"
"503","i","-38.745880","-62.262001"
"503","i","-38.745251","-62.262825"
"503","i","-38.744621","-62.263649"
"503","i","-38.743992","-62.264477"
"503","i","-38.743359","-62.265301"
"503","i","-38.742729","-62.266125"
"503","i","-38.742100","-62.266949"
"503","i","-38.741470","-62.267776"
"503","i","-38.740841","-62.268600"
"503","i","-38.740211","-62.269424"
"503","i","-38.739578","-62.270248"
"503","i","-38.738949","-62.271076"
"503","i","-38.738319","-62.271900"
"503","i","-38.737690","-62.272724"
"503","i","-38.737061","-62.273548"
"503","i","-38.736431","-62.274376"
"503","i","-38.735802","-62.275200"
"503","i","-38.736462","-62.276039"
"503","i","-38.737125","-62.276875"
"503","i","-38.737789","-62.277714"
